time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
5.110249,0.74193,3.839988,-8.786286,-11.78962,4.685021,-47.607257
5.1438,2.578198,1.073987,-8.320297,-13.55406,11.851871,-18.636533
5.176878,-0.3982,4.121915,-10.688996,0.143358,-7.240175,-12.597093
5.210228,0.506242,6.120247,-11.628753,-2.601842,-6.031359,-5.275512
5.244025,3.381033,4.851574,-38.624491,-4.095428,0.560562,-9.328592
5.276896,5.100131,-0.162961,-1.832228,-5.021419,-0.624011,-9.394435
5.310294,1.899119,-4.627708,-6.354588,-2.989866,2.219205,-8.350525
5.343547,-0.128244,1.363397,-11.498564,-4.842895,3.295886,-9.818373
5.376895,-0.222669,-0.013767,-8.456024,-6.738422,3.662062,-13.03001
5.410221,-1.210611,2.250031,-10.210138,-10.527681,8.052137,-14.165201
5.443443,-1.970947,3.547885,-10.5826,-7.672643,9.91205,-12.082321
5.47688,-1.611206,5.733121,-9.942277,-14.329958,15.982615,-13.32331
5.510217,0.982705,5.558038,-10.086234,-10.171081,16.919529,-7.340884
5.543154,0.49442,9.321708,-16.950356,-3.566291,29.107798,2.745499
5.576916,0.126598,10.587837,-9.787098,-6.572468,20.643095,3.192034
5.610204,-2.421373,11.991338,-6.702208,-3.94369,-1.781799,-11.13134
5.643547,-2.303005,14.471371,-18.30672,-0.836654,24.315033,-26.946355
5.676881,-3.548932,19.236002,0.870772,-9.96622,-2.068514,-11.773608
5.710282,-1.731818,21.853557,8.534437,-4.088395,5.576893,-12.934987
5.743546,-0.593634,17.905826,10.673882,-4.163665,1.871435,-10.595469
5.776899,-15.223776,-7.660073,-37.781103,-3.31923,1.778955,-9.743252
5.810206,2.102334,7.156674,-22.635591,-3.274637,1.062016,-9.55994
5.843515,-1.828338,-4.105604,-11.344282,-3.177219,0.957266,-8.954634
5.876885,2.139595,5.825151,-10.25129,-3.396147,1.783445,-9.085721
5.910288,-0.155778,3.730748,-10.043885,-3.10539,2.127623,-9.165481
5.943634,1.15689,3.704411,-10.92588,-3.161806,2.382166,-9.166079
5.976917,0.96804,3.596219,-9.427805,-3.110778,2.608576,-8.962864
6.010211,0.587797,3.903137,-9.72335,-3.117661,2.572662,-9.047413
6.043201,0.975822,3.664606,-9.455339,-3.035507,2.566377,-9.000724
6.076868,1.037026,3.816793,-9.91205,-2.99241,2.44741,-9.049059
6.110209,0.649301,3.665205,-8.708771,-2.95036,2.324554,-9.048759
6.143414,0.62461,3.905232,-9.29148,-3.005279,2.439479,-9.154108
6.176879,0.472423,3.946982,-8.93967,-2.743703,2.071807,-9.331884
6.210216,0.463145,4.143613,-8.885948,-2.988819,1.832677,-9.395632
6.243542,0.504596,4.0444,-9.013444,-3.902089,1.495981,-10.19667
6.276906,0.496665,4.208109,-8.945955,-6.874747,6.531316,-19.773669
6.310211,0.569541,4.269762,-8.716702,-9.372587,-1.121724,-20.24699
6.343548,0.365877,4.715249,-8.067102,-2.076745,-0.429026,-12.803899
6.37691,0.446235,5.344348,-8.572147,-18.43631,9.736518,-28.848616
6.410214,0.527042,3.460643,-8.157785,-1.876822,-5.694513,-7.941102
6.443562,5.185577,14.163256,-8.314012,2.676514,-2.679207,-5.201888
6.47686,1.224229,6.840179,-8.310571,-0.925991,-2.646884,-8.515282
6.510182,0.503997,5.566718,-14.577617,-2.564282,-1.662832,-8.342744
6.543254,10.525586,14.92015,-24.350948,-0.946791,-0.427231,-7.023641
6.57688,4.118174,-4.111141,-8.397962,-1.174398,0.916563,-7.84578
6.610193,2.652571,-6.028366,-6.091366,-3.530526,3.469771,-13.210479
6.643214,-1.506605,1.413976,-11.728865,-4.787078,3.996813,-13.639655
6.676876,-0.982556,0.716939,-9.16563,-6.64714,6.886568,-14.240621
6.710286,-1.438518,3.625699,-11.497217,-7.51028,11.559918,-17.283611
6.743548,-3.727007,5.491597,-9.032448,-11.454569,16.025562,-15.81277
6.776865,-3.598015,6.983986,-10.121699,-10.193827,18.709558,-9.650025
6.81021,-0.742828,10.603998,-19.046255,-5.336118,26.133944,6.736028
6.843545,-1.156141,15.999674,-15.145662,-5.613556,20.470856,-0.079161
6.876866,-1.239044,15.572743,-5.596646,-4.317049,-3.626746,-13.479986
6.910209,-2.059087,13.840775,-4.916968,-17.089524,17.853601,-28.164598
6.943609,-5.717707,21.160111,-4.362242,1.278849,1.742293,-6.648486
6.976857,-1.84001,19.368287,13.058143,-5.790883,4.456217,-11.37451
7.010329,-3.885629,24.71473,20.954801,-1.613001,2.086621,-11.203019
7.043602,3.062742,38.437287,-26.347035,-3.264461,0.97238,-8.723885
7.076878,-4.787527,-3.557761,-8.207167,-2.805656,1.359357,-10.023534
7.11025,2.404762,9.559491,-11.794707,-3.602953,0.688657,-9.261701
7.143267,-1.628714,2.904121,-9.486465,-2.90861,0.491577,-8.877568
7.176877,0.25559,1.816965,-9.888406,-4.205715,1.145966,-9.18688
7.210197,0.772457,2.223245,-8.375965,-3.186347,0.61608,-8.500767
7.243401,1.373124,2.84561,-9.697312,-4.103958,1.712813,-8.925753
7.276879,1.11469,2.56922,-8.984862,-3.383876,1.81068,-9.352385
7.31023,1.300996,2.585381,-9.043223,-3.599212,2.033947,-9.21202
7.343545,1.25296,3.725212,-10.203255,-3.115716,2.139445,-9.194512
