time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
4.563622,1.680041,2.697015,-9.659153,1.680041,2.697015,-9.659153
4.596956,-0.20935,-0.514173,-9.667683,-0.20935,-0.514173,-9.667683
4.630295,1.778357,1.665676,-10.430712,1.778357,1.665676,-10.430712
4.663615,3.530676,10.247699,-12.294066,3.530676,10.247699,-12.294066
4.696951,2.357026,2.925819,-9.449653,2.357026,2.925819,-9.449653
4.73028,8.573344,3.975863,-39.717632,8.573344,3.975863,-39.717632
4.763616,7.842188,3.036405,-19.955037,7.842188,3.036405,-19.955037
4.796938,4.865491,-4.150796,-3.632732,4.865491,-4.150796,-3.632732
4.830268,6.850205,-2.735174,-6.307749,6.850205,-2.735174,-6.307749
4.862751,9.41748,0.939309,-9.610369,9.41748,0.939309,-9.610369
4.896991,8.296504,5.292871,-10.401981,8.296504,5.292871,-10.401981
4.930285,4.049039,6.955853,-8.293511,4.049039,6.955853,-8.293511
4.963615,3.458697,6.911858,-8.24817,3.458697,6.911858,-8.24817
4.996891,5.579288,5.307985,-8.820255,5.579288,5.307985,-8.820255
5.030349,8.618985,8.815316,-13.936547,8.618985,8.815316,-13.936547
5.063615,3.362776,17.009016,-16.401765,3.362776,17.009016,-16.401765
5.09675,5.770831,25.097516,-17.114065,5.770831,25.097516,-17.114065
5.130217,1.059921,23.292074,1.938175,1.059921,23.292074,1.938175
5.163595,-4.770767,20.056046,13.34411,-4.770767,20.056046,13.34411
5.196216,-4.945699,19.856871,14.947086,-4.945699,19.856871,14.947086
5.230277,5.485013,20.84212,-20.532658,5.485013,20.84212,-20.532658
5.263594,12.893685,6.272883,-20.092708,12.893685,6.272883,-20.092708
5.296914,-6.030311,8.819357,-16.651369,-6.030311,8.819357,-16.651369
5.330261,1.89029,5.180489,-10.906277,1.89029,5.180489,-10.906277
5.363598,1.155992,2.851147,-8.967503,1.155992,2.851147,-8.967503
5.396936,1.29067,2.931056,-9.303601,1.29067,2.931056,-9.303601
5.43028,1.203578,2.780366,-9.210074,1.203578,2.780366,-9.210074
5.463591,1.258946,2.878232,-9.531507,1.258946,2.878232,-9.531507
5.496785,1.394223,2.914895,-9.516094,1.394223,2.914895,-9.516094
5.529975,1.33691,2.855786,-9.341012,1.33691,2.855786,-9.341012
5.563588,1.424152,2.793086,-9.27068,1.424152,2.793086,-9.27068
5.596928,1.385394,2.871349,-9.319763,1.385394,2.871349,-9.319763
5.630224,1.437171,2.867309,-9.309288,1.437171,2.867309,-9.309288
5.663584,1.442259,2.940035,-9.329938,1.442259,2.940035,-9.329938
5.696931,1.41248,3.106438,-9.396679,1.41248,3.106438,-9.396679
5.730249,1.490593,3.183803,-9.462672,1.490593,3.183803,-9.462672
5.763614,1.410385,3.126041,-9.405508,1.410385,3.126041,-9.405508
5.796329,1.526508,3.322822,-9.489009,1.526508,3.322822,-9.489009
5.829663,1.687972,3.187993,-9.38815,1.687972,3.187993,-9.38815
5.862998,2.000876,3.02593,-9.557695,2.000876,3.02593,-9.557695
5.896337,1.505558,1.333468,-10.28885,1.505558,1.333468,-10.28885
5.929668,2.378874,4.882101,-11.629352,2.378874,4.882101,-11.629352
5.962996,2.84142,3.084889,-11.386631,2.84142,3.084889,-11.386631
5.996327,3.449868,6.994611,-9.580441,3.449868,6.994611,-9.580441
6.029678,5.560732,10.008868,-29.751412,5.560732,10.008868,-29.751412
6.063003,9.399073,5.868847,-24.076203,9.399073,5.868847,-24.076203
6.096309,7.313949,-5.558787,-4.297297,7.313949,-5.558787,-4.297297
6.129665,8.113192,-1.914532,-6.140449,8.113192,-1.914532,-6.140449
6.162976,7.019601,2.225789,-10.583198,7.019601,2.225789,-10.583198
6.19629,4.189703,5.664584,-9.511306,4.189703,5.664584,-9.511306
6.229667,1.39153,8.560923,-10.287653,1.39153,8.560923,-10.287653
6.262984,1.855573,7.853262,-9.509211,1.855573,7.853262,-9.509211
6.296384,2.387404,4.575333,-7.84982,2.387404,4.575333,-7.84982
6.329592,3.665055,10.38133,-17.584094,3.665055,10.38133,-17.584094
6.362905,-0.624909,17.511218,-18.127597,-0.624909,17.511218,-18.127597
6.396331,3.158663,21.836348,-9.252573,3.158663,21.836348,-9.252573
6.429669,1.791076,20.780467,0.59109,1.791076,20.780467,0.59109
6.463521,-2.264696,22.373566,4.85756,-2.264696,22.373566,4.85756
6.496934,-2.304501,13.058143,9.365404,-2.304501,13.058143,9.365404
6.529875,4.572789,17.711739,-17.51017,4.572789,17.711739,-17.51017
6.563545,13.30655,3.548483,-26.162675,13.30655,3.548483,-26.162675
6.596935,-1.660139,3.158813,-8.066653,-1.660139,3.158813,-8.066653
6.63028,2.122536,3.317434,-9.713174,2.122536,3.317434,-9.713174
6.663918,1.028945,2.206485,-8.672407,1.028945,2.206485,-8.672407
6.696853,1.00186,2.826157,-9.043671,1.00186,2.826157,-9.043671
6.730259,1.121275,2.906515,-9.317368,1.121275,2.906515,-9.317368
6.763632,1.101821,2.826755,-9.239404,1.101821,2.826755,-9.239404
6.796915,1.114092,2.972956,-9.173262,1.114092,2.972956,-9.173262
6.830249,1.371627,3.108533,-8.926202,1.371627,3.108533,-8.926202
6.863616,1.39138,3.057355,-9.226086,1.39138,3.057355,-9.226086
6.896924,1.296656,2.907114,-9.356126,1.296656,2.907114,-9.356126
6.930266,1.457223,2.919085,-9.560538,1.457223,2.919085,-9.560538
6.963563,1.289174,2.756872,-9.239404,1.289174,2.756872,-9.239404
6.996904,1.318354,2.959189,-9.368546,1.318354,2.959189,-9.368546
7.03026,1.346338,2.911603,-9.452197,1.346338,2.911603,-9.452197
7.063632,1.258497,3.110628,-9.093952,1.258497,3.110628,-9.093952
7.096929,1.341998,3.290648,-9.648678,1.341998,3.290648,-9.648678
7.130282,1.390183,3.223908,-9.447857,1.390183,3.223908,-9.447857
7.163569,1.718949,2.897686,-9.537044,1.718949,2.897686,-9.537044
7.196931,-0.362884,-1.799307,-9.391591,-0.362884,-1.799307,-9.391591
7.230259,1.540873,2.303155,-10.63273,1.540873,2.303155,-10.63273
7.263598,0.821091,5.431291,-10.633777,0.821091,5.431291,-10.633777
7.296907,3.720423,4.577727,-9.089013,3.720423,4.577727,-9.089013
7.33025,5.043716,9.496341,-18.309712,5.043716,9.496341,-18.309712
7.363604,14.374701,8.911387,-26.161478,14.374701,8.911387,-26.161478
7.396922,9.843513,-4.613043,-5.993948,9.843513,-4.613043,-5.993948
7.430263,7.22117,-2.989866,-4.286223,7.22117,-2.989866,-4.286223
7.463593,4.39217,2.786052,-10.753043,4.39217,2.786052,-10.753043
7.496927,4.432723,5.956238,-11.616632,4.432723,5.956238,-11.616632
7.530245,1.548356,7.295393,-8.978128,1.548356,7.295393,-8.978128
7.563583,-0.101608,6.392747,-8.182027,-0.101608,6.392747,-8.182027
7.59693,1.868292,4.990742,-8.059919,1.868292,4.990742,-8.059919
7.630247,3.325814,7.125249,-14.653935,3.325814,7.125249,-14.653935
7.663529,2.004318,12.729527,-17.084735,2.004318,12.729527,-17.084735
7.696926,2.764504,19.850287,-15.118577,2.764504,19.850287,-15.118577
7.73026,-0.442793,21.939003,-5.742698,-0.442793,21.939003,-5.742698
7.76263,-2.561289,25.166053,10.584994,-2.561289,25.166053,10.584994
7.796914,-4.134784,15.234699,22.438212,-4.134784,15.234699,22.438212
7.830244,2.536598,26.947253,-29.227662,2.536598,26.947253,-29.227662
7.863012,5.857773,10.207445,-7.999014,5.857773,10.207445,-7.999014
7.896858,-4.087048,6.482532,-13.976651,-4.087048,6.482532,-13.976651
7.930281,2.327247,3.4575,-10.236026,2.327247,3.4575,-10.236026
7.963602,1.117833,2.610372,-9.083477,1.117833,2.610372,-9.083477
7.996912,0.808222,2.984778,-8.975734,0.808222,2.984778,-8.975734
8.030208,1.083265,2.832442,-10.118706,1.083265,2.832442,-10.118706
8.062694,1.189063,2.891551,-9.755224,1.189063,2.891551,-9.755224
8.096787,1.229766,2.82062,-9.420921,1.229766,2.82062,-9.420921
8.130245,1.194749,2.848304,-9.319613,1.194749,2.848304,-9.319613
8.163593,1.220338,2.838876,-9.297017,1.220338,2.838876,-9.297017
8.196968,1.371029,3.012462,-9.370941,1.371029,3.012462,-9.370941
8.230262,1.206272,2.728141,-9.286841,1.206272,2.728141,-9.286841
8.263157,1.235602,2.689832,-9.315722,1.235602,2.689832,-9.315722
8.296886,1.360853,3.02593,-9.455489,1.360853,3.02593,-9.455489
8.330227,1.317606,2.797276,-9.305098,1.317606,2.797276,-9.305098
8.363584,1.275257,2.942878,-9.309587,1.275257,2.942878,-9.309587
8.396971,1.415323,3.03865,-9.382164,1.415323,3.03865,-9.382164
8.430261,1.435674,3.057355,-9.517142,1.435674,3.057355,-9.517142
8.463595,1.703835,3.178267,-9.730533,1.703835,3.178267,-9.730533
8.496915,2.302257,3.082345,-10.044633,2.302257,3.082345,-10.044633
8.530261,2.680554,3.293941,-10.947429,2.680554,3.293941,-10.947429
8.563604,3.962396,6.622149,-12.53559,3.962396,6.622149,-12.53559
8.596915,2.893496,5.075889,-11.191796,2.893496,5.075889,-11.191796
8.630243,5.391037,19.895928,-16.068211,5.391037,19.895928,-16.068211
8.663579,12.41393,14.487383,-34.632166,12.41393,14.487383,-34.632166
8.696914,11.417906,2.637158,-17.796736,11.417906,2.637158,-17.796736
8.730281,8.835219,-5.877526,-2.040082,8.835219,-5.877526,-2.040082
8.763595,7.104748,-1.905553,-5.316964,7.104748,-1.905553,-5.316964
8.79693,6.811298,3.886227,-11.942106,6.811298,3.886227,-11.942106
8.830231,4.019858,6.122492,-10.609236,4.019858,6.122492,-10.609236
8.863594,-0.521206,8.527104,-10.345565,-0.521206,8.527104,-10.345565
8.89693,-0.378896,6.523235,-9.142137,-0.378896,6.523235,-9.142137
8.930201,2.905019,5.727883,-11.731857,2.905019,5.727883,-11.731857
8.963594,6.096753,12.055385,-19.772023,6.096753,12.055385,-19.772023
8.996927,2.818375,21.961898,-17.709195,2.818375,21.961898,-17.709195
9.030224,1.371328,24.258169,-2.611269,1.371328,24.258169,-2.611269
9.063596,-0.130638,23.595849,10.908672,-0.130638,23.595849,10.908672
9.096923,-5.866602,16.301504,11.987298,-5.866602,16.301504,11.987298
9.13017,-1.580529,22.730315,-20.828054,-1.580529,22.730315,-20.828054
9.163258,14.012865,5.79627,-22.714004,14.012865,5.79627,-22.714004
9.196927,-4.617083,7.568042,-14.474214,-4.617083,7.568042,-14.474214
9.230198,2.27562,3.62929,-10.025479,2.27562,3.62929,-10.025479
9.263601,1.603424,3.243062,-10.047327,1.603424,3.243062,-10.047327
9.296875,1.21525,2.830197,-9.247485,1.21525,2.830197,-9.247485
9.330688,1.397366,2.968018,-9.389945,1.397366,2.968018,-9.389945
9.3636,1.21121,2.831693,-9.368397,1.21121,2.831693,-9.368397
9.396889,0.981508,2.802962,-7.735642,0.981508,2.802962,-7.735642
9.430743,1.314763,2.748791,-9.112358,1.314763,2.748791,-9.112358
9.46358,1.168262,2.842767,-9.078239,1.168262,2.842767,-9.078239
9.496911,1.384347,2.831245,-9.247784,1.384347,2.831245,-9.247784
9.530253,1.465304,2.77438,-9.283399,1.465304,2.77438,-9.283399
9.563591,1.396169,3.054213,-9.490954,1.396169,3.054213,-9.490954
9.596912,1.489995,2.820171,-9.160842,1.489995,2.820171,-9.160842
9.630243,1.391679,2.843665,-9.063724,1.391679,2.843665,-9.063724
9.663587,1.443606,2.959937,-9.214713,1.443606,2.959937,-9.214713
9.696926,1.371927,3.040745,-9.452346,1.371927,3.040745,-9.452346
9.730263,1.452734,3.13502,-9.529263,1.452734,3.13502,-9.529263
9.763576,1.779554,3.295287,-9.824957,1.779554,3.295287,-9.824957
9.796928,-0.340438,-1.319851,-8.771022,-0.340438,-1.319851,-8.771022
9.830256,1.760998,2.191521,-10.478897,1.760998,2.191521,-10.478897
9.863603,3.031467,11.420151,-11.095426,3.031467,11.420151,-11.095426
9.896926,5.343899,2.77019,-9.833188,5.343899,2.77019,-9.833188
9.930251,5.175701,14.440993,-19.200986,5.175701,14.440993,-19.200986
9.963596,13.592368,20.860077,-34.584131,13.592368,20.860077,-34.584131
9.996895,8.782096,-2.927016,-5.558637,8.782096,-2.927016,-5.558637
10.030256,8.153895,-3.156568,-2.720808,8.153895,-3.156568,-2.720808
10.063583,6.463079,-0.315747,-7.072724,6.463079,-0.315747,-7.072724
10.096898,5.631214,3.310252,-9.859525,5.631214,3.310252,-9.859525
10.130274,4.68128,8.793618,-14.577168,4.68128,8.793618,-14.577168
10.163625,-1.862456,8.341247,-9.017035,-1.862456,8.341247,-9.017035
10.196915,-0.084399,4.226515,-5.637948,-0.084399,4.226515,-5.637948
10.230252,5.419768,7.675486,-16.044866,5.419768,7.675486,-16.044866
10.263579,3.273439,18.236238,-17.597562,3.273439,18.236238,-17.597562
10.296913,6.2027,30.515938,-15.581422,6.2027,30.515938,-15.581422
10.330279,1.729573,23.798316,3.493415,1.729573,23.798316,3.493415
10.363595,-5.4066,24.226595,16.896784,-5.4066,24.226595,16.896784
10.396915,-7.862989,-9.621742,-6.360125,-7.862989,-9.621742,-6.360125
10.430252,7.363032,14.230895,-28.52434,7.363032,14.230895,-28.52434
10.463588,-4.50126,5.399267,-16.352383,-4.50126,5.399267,-16.352383
10.496913,-0.950233,1.311321,-8.940268,-0.950233,1.311321,-8.940268
10.530211,1.851083,3.508828,-10.409014,1.851083,3.508828,-10.409014
10.563629,1.309226,3.119906,-9.821964,1.309226,3.119906,-9.821964
10.596881,1.333169,3.349159,-10.607889,1.333169,3.349159,-10.607889
10.630261,1.057078,2.940035,-9.016736,1.057078,2.940035,-9.016736
10.66358,1.141776,2.793385,-9.470154,1.141776,2.793385,-9.470154
10.69693,1.204326,2.523279,-9.133906,1.204326,2.523279,-9.133906
10.730246,1.252661,2.730086,-9.029306,1.252661,2.730086,-9.029306
10.763591,1.410085,2.811342,-9.383062,1.410085,2.811342,-9.383062
10.796929,1.254606,2.714523,-9.5764,1.254606,2.714523,-9.5764
10.830246,1.368036,2.726195,-9.618151,1.368036,2.726195,-9.618151
10.86359,1.33706,2.744452,-9.356575,1.33706,2.744452,-9.356575
10.896931,1.440912,2.785454,-9.37109,1.440912,2.785454,-9.37109
