time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
4.223816,22.19564,32.558265,-71.286159,-0.035465,3.632283,-10.84657
4.257435,-2.691328,-4.05712,-15.123515,-2.378126,2.582089,-13.380025
4.290446,1.393475,2.674119,-11.088093,-3.59173,-3.346765,-17.503436
4.323806,1.303689,3.208345,-9.835283,-3.962845,-0.377699,-17.4557
4.357227,1.203878,2.877484,-9.154856,-7.60276,0.286866,-26.485006
4.390568,1.314314,2.739663,-9.140939,-4.25405,-5.230021,-8.23964
4.423842,1.455128,2.930907,-9.465066,-1.921715,-10.241863,-7.1875
4.457282,1.586814,2.941681,-9.373634,-0.782932,-1.235003,-7.942449
4.490477,1.471738,2.907712,-9.314974,-0.904143,1.611355,-10.178713
4.523805,1.407392,2.899482,-9.135403,0.936615,2.107422,-12.304691
4.557158,1.477874,2.859078,-9.383211,1.027897,10.391655,-13.053803
4.590341,1.530698,2.933151,-9.501429,0.498461,10.42742,-14.752101
4.623504,1.514985,2.762409,-9.403712,2.076296,29.576779,9.641645
4.657137,1.496729,2.932104,-9.473296,14.421839,35.411806,6.359227
4.690476,1.504959,2.852943,-9.419275,-5.10462,4.311812,-31.114061
4.723822,1.608063,2.896339,-9.603486,-4.965452,-4.233998,-15.27226
4.757181,-0.096819,2.414339,-8.813521,1.757556,3.313244,-9.801463
4.790496,1.385694,3.14759,-9.539738,-1.009491,4.337401,-9.446061
4.823803,0.165355,1.650262,-9.440674,-0.835307,3.232138,-9.194961
4.857272,2.804758,5.017378,-9.565476,-0.554277,3.481892,-9.23716
4.89052,2.17506,3.91017,-10.101348,-0.79625,3.452562,-9.085123
4.923795,0.448929,2.104578,-11.268862,-0.708559,3.268202,-9.194212
4.957138,4.581319,1.431634,-12.631511,-0.744923,3.410812,-9.212469
4.989745,3.484286,-0.413015,-6.961839,-0.746569,3.344071,-9.181792
5.023829,4.459061,-0.086344,-7.410768,-0.731604,3.29005,-9.167725
5.057237,3.891315,2.53121,-9.933149,-0.900402,3.455705,-9.075695
5.090511,2.921479,2.875539,-9.083925,-0.848775,3.458548,-9.091557
5.123809,1.461712,3.275983,-9.67307,-0.788918,3.424429,-9.130315
